clube_id,pontos_num_1,preco_num_1,variacao_num_1,partida_id,mando,nota_1,FS_1,PE_1,A_1,FT_1,FD_1,FF_1,G_1,I_1,PP_1,RB_1,FC_1,GC_1,CA_1,CV_1,SG_1,DD_1,DP_1,GS_1,pontos_num_2,preco_num_2,variacao_num_2,nota_2,FS_2,PE_2,A_2,FT_2,FD_2,FF_2,G_2,I_2,PP_2,RB_2,FC_2,GC_2,CA_2,CV_2,SG_2,DD_2,DP_2,GS_2,pontos_num_3,preco_num_3,variacao_num_3,nota_3,FS_3,PE_3,A_3,FT_3,FD_3,FF_3,G_3,I_3,PP_3,RB_3,FC_3,GC_3,CA_3,CV_3,SG_3,DD_3,DP_3,GS_3,pontos_num_4,preco_num_4,variacao_num_4,nota_4,FS_4,PE_4,A_4,FT_4,FD_4,FF_4,G_4,I_4,PP_4,RB_4,FC_4,GC_4,CA_4,CV_4,SG_4,DD_4,DP_4,GS_4,pontos_num_5,preco_num_5,variacao_num_5,nota_5,FS_5,PE_5,A_5,FT_5,FD_5,FF_5,G_5,I_5,PP_5,RB_5,FC_5,GC_5,CA_5,CV_5,SG_5,DD_5,DP_5,GS_5
263.0,2.0,16.34,-2.59,179882.0,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-1.9000000000000004,14.69,-6.18,21.5,5,19,1,0,1,2,0,0,0,2,5,0,1,1,0,0,0,0,-1.2,20.58,-5.32,9.0,1,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,15.799999999999999,44.94,-1.3499999999999994,25.0,9,10,0,0,1,5,0,0,0,9,7,0,1,0,0,0,0,0,20.1,19.240000000000002,6.619999999999999,14.5,6,10,1,0,1,3,2,2,0,0,6,0,0,0,0,0,0,0
285.0,-3.0,8.27,-2.33,179882.0,0,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,15.54,2.12,11.0,3,8,0,0,0,1,0,0,0,6,3,0,0,0,0,0,0,0,4.2,23.56,-0.6799999999999999,10.5,1,7,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,14.4,76.31,-1.7800000000000002,39.5,10,27,2,0,0,3,0,0,0,12,14,0,4,0,0,0,0,0,15.9,12.4,5.96,7.5,2,2,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0
315.0,-1.0,7.19,-0.91,179883.0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7.699999999999999,24.990000000000002,4.84,10.0,9,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,-0.20000000000000018,11.780000000000001,-0.7100000000000001,10.0,5,3,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,23.1,29.009999999999998,6.680000000000001,24.0,5,9,1,0,1,2,1,0,0,7,8,0,0,0,0,0,0,0,0.19999999999999996,17.05,-2.8499999999999996,20.5,9,5,0,0,0,0,0,3,0,1,6,0,0,0,0,0,0,0
292.0,1.0,14.73,0.19,179883.0,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.09999999999999964,12.52,-2.99,15.5,3,16,0,0,0,2,0,0,0,4,6,0,1,0,0,0,0,0,-0.19999999999999996,7.66,-4.46,11.5,2,3,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,24.4,26.840000000000003,6.73,23.0,9,10,1,0,3,1,1,0,0,6,8,0,0,0,0,0,0,0,6.199999999999999,36.88,-1.3399999999999999,22.0,5,4,0,0,0,1,1,0,0,1,11,0,0,0,0,0,0,0
262.0,-1.3,16.94,-2.75,179884.0,0,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.5000000000000004,25.3,-6.670000000000001,15.5,4,10,0,0,1,1,0,0,0,4,2,0,0,1,0,0,0,0,1.3,25.810000000000002,-4.57,12.0,5,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16.700000000000003,29.06,2.1000000000000005,22.0,5,13,0,0,2,2,0,0,0,11,4,0,1,0,0,0,0,0,-0.7,16.26,-4.78,16.0,1,11,0,0,1,1,0,0,0,2,6,0,0,0,0,0,0,0
264.0,8.0,21.27,1.27,179884.0,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,20.3,30.659999999999997,8.780000000000001,13.0,3,11,1,1,0,0,0,1,0,3,2,0,0,0,2,0,0,0,23.700000000000003,38.25,9.39,14.0,1,2,0,0,0,0,1,0,0,4,2,0,0,0,2,0,0,0,21.8,57.10000000000001,1.2800000000000002,29.0,7,21,0,0,1,1,1,0,0,12,7,0,1,0,0,0,0,0,3.5000000000000004,23.169999999999998,-3.73,19.5,1,7,1,0,0,0,0,1,0,3,5,0,1,0,0,0,0,0
266.0,7.1,17.87,0.68,179885.0,0,6.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11.399999999999999,33.65,1.54,11.5,2,9,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,12.0,26.73,4.6899999999999995,11.5,0,7,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,17.7,53.73,-2.1300000000000003,37.0,10,13,0,0,3,2,0,1,0,11,4,0,2,0,0,0,0,0,12.6,46.61,3.9000000000000004,15.5,3,15,1,0,2,2,1,2,0,1,3,0,0,0,0,0,0,0
275.0,10.2,20.53,2.81,179885.0,1,8.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.6000000000000001,19.07,-3.2699999999999996,10.0,2,10,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,-0.8,12.57,-4.24,10.5,2,14,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5.999999999999999,45.3,-6.16,32.5,2,23,0,0,1,3,0,1,0,9,8,0,1,0,0,0,0,0,3.3,16.16,-0.07999999999999985,16.0,4,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0
277.0,11.0,15.23,2.35,179886.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8.1,27.18,0.97,11.5,1,6,0,0,0,0,0,0,0,2,4,0,1,0,2,0,0,0,7.0,8.26,0.68,13.5,1,10,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,-4.2,19.999999999999996,-8.149999999999999,21.5,7,2,0,0,0,0,0,0,0,2,13,0,2,0,0,0,0,0,-2.6999999999999997,64.89999999999999,-10.420000000000002,25.0,2,6,0,0,1,3,0,2,0,0,4,0,1,0,0,0,0,0
294.0,5.0,10.08,2.13,179886.0,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.6,26.15,7.0600000000000005,12.0,2,3,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,22.4,36.32,8.07,19.5,5,5,0,0,0,1,0,0,0,6,5,0,1,0,3,0,0,0,10.0,28.940000000000005,-0.3899999999999999,29.5,12,15,0,1,3,1,0,0,0,4,7,0,1,0,0,0,0,0,4.2,13.02,-0.98,13.0,3,4,0,1,3,2,0,2,0,0,2,0,1,0,0,0,0,0
