clube_id,pontos_num,preco_num,variacao_num,partida_id,mando,nota,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,vencedor
287.0,59.6,81.11999999999999,5.959999999999999,179907.0,1,79.0,15,37,1,0,2,4,2,4,0,7,13,0,1,0,6,2,0,0,1
264.0,51.4,170.00000000000003,1.8100000000000003,179908.0,0,76.5,19,28,0,0,2,4,1,3,0,15,17,0,3,0,5,1,0,0,1
315.0,8.3,78.74000000000001,-6.17,179908.0,1,75.0,16,25,0,0,1,6,0,3,0,13,20,0,3,0,0,0,0,1,-1
263.0,108.80000000000001,131.85,28.15,179909.0,1,93.5,13,38,4,2,2,4,6,2,0,7,20,0,1,0,7,0,0,0,1
288.0,-9.3,71.81,-15.209999999999999,179909.0,0,70.0,20,26,0,0,2,9,0,3,0,6,13,0,5,0,0,0,0,6,-1
293.0,11.6,88.06,-1.0400000000000003,179910.0,0,78.0,9,34,0,0,2,5,0,0,0,14,14,0,3,0,0,1,0,1,-1
284.0,42.5,130.11,0.3400000000000001,179910.0,1,78.5,14,34,1,0,4,4,1,0,0,7,10,0,2,0,4,1,0,0,1
262.0,1.7999999999999996,118.18,-13.14,179911.0,0,67.0,17,39,0,0,2,5,0,5,0,10,12,0,4,0,0,1,0,2,-1
266.0,67.80000000000001,193.29000000000002,10.42,179911.0,1,89.0,10,38,2,0,2,2,2,4,0,19,19,0,2,0,5,1,0,0,1
266.0,20.1,124.77,-6.479999999999999,179912.0,0,78.5,11,33,0,3,3,7,1,1,0,8,8,0,2,1,0,0,0,1,0
316.0,-3.219646771412954e-15,47.76,-6.3999999999999995,179912.0,1,81.5,8,33,1,0,2,3,1,1,0,4,13,0,2,1,0,0,0,1,0
264.0,23.9,165.94,-5.11,179913.0,0,78.5,12,16,1,0,4,1,1,1,0,10,11,0,2,0,0,0,0,1,0
276.0,25.999999999999996,164.46,-2.91,179913.0,1,79.5,11,31,1,0,1,3,1,3,0,16,14,0,3,0,0,1,0,1,0
262.0,28.899999999999995,107.10999999999999,-0.2799999999999999,179914.0,0,76.0,12,32,0,0,5,6,0,3,0,14,12,0,0,0,0,3,0,1,-1
290.0,60.6,90.57,4.319999999999999,179914.0,1,81.5,12,35,1,0,5,4,1,1,0,9,13,0,0,0,6,2,0,0,1
290.0,2.6000000000000005,106.71,-10.67,179915.0,0,75.0,23,43,0,0,0,4,0,0,0,11,15,0,3,0,0,0,0,2,-1
275.0,42.800000000000004,95.64,4.789999999999998,179915.0,1,78.5,15,43,2,0,0,3,2,0,0,13,24,0,5,0,4,0,0,0,1
262.0,51.6,119.82,3.0,179916.0,1,88.5,13,27,1,0,6,6,1,5,1,15,21,0,2,0,5,0,0,0,1
264.0,30.199999999999996,155.82000000000002,-4.46,179916.0,0,76.5,19,37,0,0,2,2,0,0,0,17,13,0,1,0,0,1,1,1,-1
292.0,48.3,97.68,6.66,179917.0,0,85.0,12,45,0,0,2,5,1,0,0,14,19,0,1,0,6,0,0,0,1
294.0,27.099999999999998,117.71,-2.45,179917.0,1,81.0,17,39,0,1,1,10,0,4,0,19,13,0,3,0,0,1,0,1,-1
282.0,39.9,109.75,2.3000000000000007,179918.0,1,83.0,19,42,0,0,3,7,2,0,0,18,17,0,5,0,0,3,0,1,1
283.0,11.800000000000002,98.77000000000001,-6.909999999999999,179918.0,0,84.0,17,26,0,0,3,4,1,2,0,14,21,0,2,2,0,1,0,2,-1
275.0,-5.2,66.24,-9.8,179919.0,0,67.5,10,26,0,0,3,6,0,2,0,7,19,0,4,0,0,1,0,3,-1
266.0,57.5,145.95000000000005,5.279999999999999,179919.0,1,92.0,17,14,1,0,2,0,3,2,0,6,12,0,1,0,3,2,0,0,1
265.0,13.600000000000001,91.96999999999998,-5.9,179920.0,1,79.5,22,32,0,0,3,6,1,0,0,10,20,0,3,1,0,1,0,1,0
287.0,32.3,102.67999999999999,1.1300000000000001,179920.0,0,87.0,20,15,1,0,4,4,1,1,0,15,22,0,3,1,0,2,0,1,0
283.0,27.6,165.26,-7.2700000000000005,179921.0,0,78.0,13,21,0,0,3,7,0,0,0,15,20,0,2,0,0,4,0,2,-1
276.0,85.8,131.88,6.8100000000000005,179921.0,1,78.0,20,38,0,0,5,4,2,1,0,27,14,0,3,0,5,2,0,0,1
293.0,16.400000000000002,97.22999999999999,-2.64,179922.0,0,80.0,9,42,0,0,2,3,1,2,0,7,15,0,1,0,0,5,0,2,-1
285.0,39.1,155.74,0.4700000000000001,179922.0,1,89.5,15,30,2,0,9,6,2,8,0,7,9,0,3,0,0,2,0,1,1
277.0,59.8,133.5,8.719999999999999,179923.0,0,78.0,12,22,2,0,2,6,2,0,0,6,14,0,0,1,6,0,0,0,1
316.0,-9.299999999999997,55.260000000000005,-7.140000000000001,179923.0,1,71.0,14,32,0,0,1,0,0,1,0,4,12,0,1,1,0,1,0,2,-1
277.0,34.0,145.31,-1.1100000000000003,179924.0,1,84.5,17,30,2,0,0,3,2,4,0,17,21,0,4,0,0,0,0,1,1
294.0,25.5,85.17,-6.52,179924.0,0,77.0,22,25,1,0,1,5,1,3,0,15,19,0,3,0,0,0,0,2,-1
